dia,turno,tms_x_turno,dosificacion_acido_x_dia_kg_tms,flujo_sx_hg,flujo_sx_lg,flujo_lix_hg,flujo_lix_lg,ph_pls_hg,ph_pls_lg
2025-01-28,B,17683.48020341549,37.50838372710191,862.224365234375,871.408203125,1120.179443359375,917.335205078125,1.2899999618530273,1.4299999475479126
2025-01-29,A,15537.78555472504,,873.0013020833334,871.3479817708334,1093.4222819010417,861.903564453125,1.3200000524520874,1.399999976158142
2025-01-29,B,18081.78369720134,38.471938480469625,872.447265625,870.3921712239584,1147.7684733072917,913.8190104166666,1.3200000524520874,1.399999976158142
2025-01-30,A,15204.486167516285,,872.1634928385416,869.8104654947916,1066.634765625,930.8016764322916,1.2799999713897705,1.4199999570846558
2025-01-30,B,17535.866345506878,34.81025439621214,869.768798828125,893.9185384114584,1071.1482747395833,955.7415364583334,1.3799999952316284,1.4700000286102295
2025-01-31,A,17599.900316810432,,869.9474283854166,899.2430826822916,1018.0936686197916,923.89599609375,1.3700000047683716,1.4500000476837158
2025-01-31,B,14627.508957899454,38.49518245245818,867.0581868489584,898.3772786458334,1125.6140950520833,918.7788899739584,1.3700000047683716,1.4500000476837158
2025-02-01,A,17565.641172877815,,852.0912272135416,897.8181966145834,1042.6881510416667,923.4085286458334,1.2999999523162842,1.4600000381469727
2025-02-01,B,13569.372982374225,40.748335416638575,850.4244791666666,895.5472005208334,1122.2227376302083,947.2139485677084,1.2899999618530273,1.4600000381469727
2025-02-02,A,7721.936637551107,,818.97265625,892.1552734375,1099.1605631510417,941.4220377604166,1.2899999618530273,1.4199999570846558
2025-02-02,B,17456.228562723463,37.885604149963946,874.8826497395834,892.3522135416666,1088.8179524739583,930.5266927083334,1.2899999618530273,1.440000057220459
2025-02-03,A,17635.43323073816,,876.1400553385416,892.414306640625,1224.9851888020833,902.0262858072916,1.3300000429153442,1.4299999475479126
2025-02-03,B,17291.393109788423,35.432649618211535,874.84912109375,884.873046875,1198.421875,954.6771647135416,1.4199999570846558,1.440000057220459
2025-02-04,A,16321.217850568086,,875.9131673177084,878.60498046875,1147.3688151041667,946.7628580729166,1.4199999570846558,1.440000057220459
2025-02-04,B,13358.713191218814,43.218429254233634,874.0818684895834,883.964111328125,1068.9330240885417,991.216796875,1.409999966621399,1.4600000381469727
2025-02-05,A,14403.51784052677,,850.6787109375,884.9554850260416,1024.42529296875,906.892578125,1.3899999856948853,1.440000057220459
2025-02-05,B,17768.63344077139,38.01300041476906,842.8965657552084,884.3977864583334,1040.89453125,957.5364583333334,1.3200000524520874,1.4900000095367432
2025-02-06,A,17262.5386522859,,842.531494140625,888.8152669270834,1036.7724609375,943.457275390625,1.3300000429153442,1.4700000286102295
2025-02-06,B,16471.329387734328,37.2572157604031,840.0186360677084,890.4097493489584,965.994873046875,907.0464680989584,1.3300000429153442,1.4900000095367432
2025-02-07,A,15461.785089298422,,838.78125,890.41455078125,970.579833984375,907.4447428385416,1.3799999952316284,1.440000057220459
2025-02-07,B,17547.075573389415,36.99915645317982,835.7345377604166,891.9825846354166,1097.2535807291667,987.3740234375,1.3200000524520874,1.440000057220459
2025-02-08,A,8008.92064622214,,835.5270182291666,893.59619140625,1110.8111979166667,977.5984700520834,1.2599999904632568,1.4199999570846558
2025-02-08,B,16037.225439230382,36.740191000273306,834.281982421875,893.852783203125,1104.3858235677083,959.6476236979166,1.2699999809265137,1.4500000476837158
2025-02-09,A,1e-06,,838.929460959069,897.0322857519363,733.3318684895834,607.445068359375,,
2025-02-09,B,1e-06,0.0,1.0,1.0,131.78152465820312,8.333333333333333e-08,,
2025-02-10,A,9.813932884194031e-07,,1.0,1.0,0.30406103531519574,173.89849853515625,1.2699999809265137,1.4500000476837158
2025-02-10,B,16755.14360194289,24.7440433711139,309.1828161036835,325.0650600437447,242.86810302734375,42.44328816731771,1.2699999809265137,1.4500000476837158
2025-02-11,A,16451.981371691327,,820.1427408854166,812.6661783854166,1137.0628255208333,779.763427734375,1.3799999952316284,1.4900000095367432
2025-02-11,B,15659.443450869427,41.52758737329856,842.175537109375,832.2604166666666,1130.74072265625,862.072265625,1.3700000047683716,1.4500000476837158
2025-02-12,A,11696.944892492238,,864.95263671875,832.594482421875,1112.9822591145833,891.6512858072916,1.3799999952316284,1.4600000381469727
