codigo_de_batea,ano,ciclo,n_batea,fecha_rebose,inicio_de_carga,fin_de_carga,tms,horas_de_lixiviacion,cut_pct,cusac_pct,pctc,fet_pct,indice_solubilidad,pctrec_cusac,p80_mm,pcthumedad_inicial,tiempo_de_lixiviacion_h,ratio_de_curado_kg_tn,pctoxi_2,pctoxi_3,pctoxi_3m,pctoxi_4,pctoxi_4m
25-C2-B11-Ene,2025,2,Batea 11,2025-01-11 17:06:00,2025-01-11 01:11:00.000,2025-01-11 11:27:00.000,15061.36546031746,103.29166412353516,0.656062424969988,0.5361855257896841,0.554516185585867,9.923729491796719,81.72782122283749,51.57069030241153,9.2801285993134,2.0717460317460317,103.29166412353516,28.461350116248028,40.24,59.76,0.0,0.0,0.0
25-C2-B12-Ene,2025,2,Batea 12,2025-01-12 01:46:00,2025-01-11 11:27:00.000,2025-01-11 21:40:00.000,14863.943204256253,105.03,0.57912,0.4769069488817892,0.529081266413779,10.0382,82.35028126843991,75.89896096152783,9.49468197164093,1.8881636682755594,105.03,27.919735711670377,36.12,63.88,0.0,0.0,0.0
25-C2-B13-Ene,2025,2,Batea 13,2025-01-12 12:26:00,2025-01-11 21:40:00.000,2025-01-12 07:53:00.000,15282.368015222284,107.86,0.5926059152677858,0.481260016025641,0.556276937865176,11.1863309352518,81.2108019219096,74.03635536262173,8.64332005995384,1.9481071780939097,107.86,27.78554522478431,38.72,61.28,0.0,0.0,0.0
25-C2-B14-Ene,2025,2,Batea 14,2025-01-12 22:17:00,2025-01-12 07:53:00.000,2025-01-12 17:55:00.000,14755.512905255278,106.97,0.5804251905334937,0.47269631410256413,0.479929272174389,11.17717609306057,81.43966213252885,70.57829302494642,9.467738839135162,1.6299139649648136,106.97,28.12579413796483,47.88,52.12,0.0,0.0,0.0
25-C2-B15-Ene,2025,2,Batea 15,2025-01-13 07:56:00,2025-01-12 17:55:00.000,2025-01-13 04:10:00.000,15509.385316361653,107.688,0.6168395849960095,0.5093912175648702,0.46596334723955,15.403431763766958,82.58082489439543,65.24623255107849,8.922430779080779,1.7398294705926738,107.688,27.677761093392366,36.46,63.54,0.0,0.0,0.0
25-C3-B02-Ene,2025,3,Batea 02,2025-01-13 23:38:00,2025-01-13 04:10:00.000,2025-01-13 20:34:00.000,14925.773159777727,105.0,0.68396,0.548812375249501,0.53616430696464,13.632091346153844,80.24041979786844,67.58616213791952,6.921172030137169,1.6488326319337965,105.0,24.884083860578567,38.45,61.55,0.0,0.0,0.0
25-C3-B03-Ene,2025,3,Batea 03,2025-01-14 15:22:00,2025-01-13 20:34:00.000,2025-01-14 12:23:00.000,15972.889173513031,107.3861,0.6044710578842315,0.4937774670395525,0.464355263600814,17.60998003992016,81.68752839348032,66.44982690877694,9.616935956595464,2.401996984522601,107.3861,27.401687768485893,41.21,58.79,0.0,0.0,0.0
25-C3-B04-Ene,2025,3,Batea 04,2025-01-15 04:23:00,2025-01-14 12:23:00.000,2025-01-15 01:49:00.000,15616.983346723131,105.75,0.605077968812475,0.48853082465972775,0.481953019136547,1.952640967333433,80.73849153994443,63.4616327052253,9.773030381297353,1.952640967333433,105.75,28.511955570356715,36.77,63.23,0.0,0.0,0.0
25-C3-B05-Ene,2025,3,Batea 05,2025-01-15 16:49:00,2025-01-15 01:49:00.000,2025-01-15 12:18:00.000,15952.233153109855,103.05,0.5273490603758497,0.37645000000000006,0.471981800123848,13.98200719712115,71.3853552202593,88.25082364554596,9.547458865838319,2.2055348632304055,103.05,27.023168410121322,39.68,60.32,0.0,0.0,0.0
25-C3-B06-Ene,2025,3,Batea 06,2025-01-16 03:53:00,2025-01-15 12:18:00.000,2025-01-15 22:51:00.000,15483.847118395115,109.44527435302734,0.5251300520208083,0.4340663734506197,0.488116932587559,12.665946378551421,82.65883313671407,81.23214494812594,9.898287333086921,1.9264813884271965,109.44527435302734,28.455275314880872,34.94,65.06,0.0,0.0,0.0
25-C3-B07-Ene,2025,3,Batea 07,2025-01-16 14:31:00,2025-01-15 22:51:00.000,2025-01-16 09:43:00.000,15350.692695794549,108.46833038330078,0.5474358974358974,0.4416566746602718,0.484478674784579,12.296674679487179,80.677331670963,84.8186693583549,9.426491624154508,2.175040174646008,108.46833038330078,28.58537453130784,35.94,64.06,0.0,0.0,0.0
25-C3-B09-Ene,2025,3,Batea 09,2025-01-17 06:19:00,2025-01-16 09:43:00.000,2025-01-17 01:33:00.000,15887.953960909213,104.69999694824219,0.5996407185628743,0.5202495009980039,0.539746929872731,14.52,86.76020238333,77.61451314833937,9.266860081337331,1.6469359854573864,104.69999694824219,27.629135257707723,40.74,59.26,0.0,0.0,0.0
25-C3-B10-Ene,2025,3,Batea 10,2025-01-17 16:20:00,2025-01-17 01:33:00.000,2025-01-17 12:13:00.000,15355.989627353056,104.97444152832031,0.5474358974358974,0.4416566746602718,0.484478674784579,12.296674679487179,80.677331670963,70.16697366520276,9.079096096611963,1.7531053912152643,104.97444152832031,27.896695676433772,37.29,62.71,0.0,0.0,0.0
25-C3-B11-Ene,2025,3,Batea 11,2025-01-18 04:24:00,2025-01-17 12:13:00.000,2025-01-17 23:02:00.000,15206.37794786446,105.34388732910156,0.5996407185628743,0.5202495009980039,0.539746929872731,14.52,86.76020238333,63.528022979642685,9.166595299877326,1.6271424458402617,105.34388732910156,26.07936632485542,43.1,56.9,0.0,0.0,0.0
